,Unnamed: 0,2017_mean,2017_std,2018_mean,2018_predicted_mean,2018_predicted_std,2018_std,2019_predicted_mean,2019_predicted_std,2020_predicted_mean,2020_predicted_std,2021_predicted_mean,2021_predicted_std,2022_predicted_mean,2022_predicted_std,2023_predicted_mean,2023_predicted_std,5_yr_num_diff,5_yr_pct_diff,Sat_mean,Sat_std,Sun/Hol_mean,Sun/Hol_std,Weekday_mean,Weekday_std,daily_mean,daily_std,latitude,longitude,num_na,num_yrs_from_past_5,station,weekday-sat,weekday-sun
0,0,4665.654794520548,2686.383583858916,4399.8232044198885,4793.514604482096,2226.9685917446373,2465.051320563959,4631.28561389233,2084.84513191102,4617.565021422117,2083.288294799177,4611.4396240072965,2085.0814552819065,4593.177113839166,2099.5009616904067,4430.932570599369,1944.2545810630775,-8.450684931506885,-0.001674288382979533,1810.3619361936194,600.8884225802328,1255.5472440944882,680.7290395979917,5230.739529675252,1948.17532841154,4112.129420970266,2388.028698322405,41.875474,-87.64970699999998,0,5,UIC-Halsted,3420.3775934816326,3975.192285580764
1,1,2210.5068493150684,835.609978610869,2060.204419889503,2113.4195568991017,766.1131646700505,774.3589801910858,2013.6108441325773,742.2551639020435,1916.882602722772,741.0456263453214,1820.695215353207,741.9109132533998,1720.8478723630628,746.7130261649464,1621.3236047428022,728.7515543617676,-63.51506849315069,-0.026640654745364173,1163.987898789879,358.98203614708467,829.5068897637796,456.7434760433358,2600.0499440089584,375.2304405052178,2114.2514866979654,840.0694640744423,0.0,0.0,0,5,Halsted-Orange,1436.0620452190794,1770.5430542451788
2,2,3581.0849315068485,783.766151431318,3434.0165745856348,3495.8531762589623,675.4303634411567,740.9287375775093,3363.853459634372,637.2474126875726,3244.325681568741,637.1411025712638,3129.078308319919,636.2564826459495,3008.922399846688,639.7878789437242,2872.0851189187983,614.6844166530652,-18.236301369862982,-0.004191974409103488,2938.80198019802,660.2898311995287,2101.393700787401,484.307642039252,3667.154759238522,616.038425999267,3314.590453834116,839.8823890804636,41.993664,-87.65920200000002,0,5,Granville,728.3527790405019,1565.7610584511208
3,3,5916.654794520548,2341.846564370784,5655.419889502762,5737.708949476432,2356.057949598312,2330.806465210889,5477.131682091491,2286.1453969863064,5221.831115294917,2282.4277442148677,4967.206888319553,2285.588616427658,4702.810518732344,2300.893667062471,4443.020123951795,2255.300565796835,-205.4061643835616,-0.03149313576390589,2971.6589658965886,1220.033604415244,2228.06003937008,1374.1541252488812,7501.833818589026,1235.9341821370142,6018.8787167449145,2592.689302726716,0.0,0.0,0,5,Jackson/Dearborn,4530.1748526924375,5273.7737792189455
4,4,2393.493150684932,796.5310525476946,2367.5856353591157,2456.880960843131,539.2615276430214,799.0993886267353,2506.0104304498927,526.2990242239733,2554.830371598356,525.6964679995343,2604.37947143508,526.4581567859974,2651.050238557127,529.2579084588398,2698.6498829645225,523.6928552704471,54.23767123287678,0.024585787810503384,1249.7139713971394,424.2722632223638,791.8494094488188,309.65496444361617,2153.0241881299,703.0464642938057,1808.100469483568,823.3499200577292,0.0,0.0,0,5,Damen-Brown,903.3102167327604,1361.174778681081
5,5,5905.986301369863,1425.1541221179746,5565.867403314917,6134.439228077432,1127.6420038498427,1372.2525294356956,6223.8367337407,1089.0797049271514,6375.235281419865,1088.0829120680119,6530.243670929633,1089.1494116072192,6677.434182453356,1095.6446590156352,6761.45845633875,1070.7444062870027,-14.391095890410952,0.005211009001173161,3635.4609460946094,1635.3238035878535,2640.087598425197,1273.7097886946199,5358.073012318029,1261.3836025516912,4680.869953051643,1699.3487088490292,0.0,0.0,0,5,Damen/Milwaukee,1722.6120662234198,2717.985413892832
6,6,977.6602739726027,255.44626902162338,901.9337016574583,924.9352870164148,305.408912983738,243.34782153694567,839.4350048703548,296.0484212188417,771.2213257844456,295.53913378939683,703.5121955332138,295.7585944142224,634.1430864687345,297.3412369813441,547.7850159878153,290.8693118678641,-148.936301369863,-0.10860901199140044,794.8756875687569,196.59375517409717,578.4891732283464,152.54957647165162,1315.512430011198,224.76407162688443,1124.264475743349,364.4908165305488,0.0,0.0,0,5,East 63rd-Cottage Grove,520.636742442441,737.0232567828515
7,7,1624.7068493150684,466.50186280700797,1521.011049723757,1555.557457719245,502.9128884604557,459.09255891922606,1490.2731158629929,492.4667339830706,1429.7939606014056,491.6499396378476,1369.5123706456484,492.1904728738176,1306.8399856724036,494.69057442067367,1240.7208243263494,490.31682851415604,-17.284246575342483,-0.009530160628668207,1088.1408140814078,185.01885240231738,750.8277559055118,177.08364018999444,1989.140873460247,197.30299960671368,1664.0805946791863,539.1795485874094,0.0,0.0,0,5,Austin-Lake,901.0000593788391,1238.313117554735
8,8,3851.7917808219177,1399.8844616525382,3595.0165745856348,3940.172412626431,1308.472511049368,1384.7882568791604,3793.645914111793,1288.4646978396236,3770.376850609961,1286.6990064983295,3748.417732543219,1288.3820193198,3719.595219201204,1295.8441833635725,3568.980058291827,1280.5381728793207,-22.372602739726066,-0.005204154604083161,2498.223322332233,802.8003093148924,1753.9566929133857,676.4406790039454,4845.9776035834275,621.3454544626871,4020.374804381847,1434.1835528249294,41.984246,-87.83802800000002,0,5,Cumberland,2347.7542812511947,3092.0209106700418
9,9,1486.0493150684933,504.1945897910147,1364.1988950276245,1436.2263781296078,591.5601164716147,448.84963356822266,1225.7692159049013,544.8141142287191,1086.4824085603564,544.7063532707929,950.6079974459268,544.1493406417593,810.5231199999582,548.3088590799994,596.8084829278358,496.8454949273697,-470.99726027397264,-0.16867698641569456,1323.6479647964798,626.8159234782728,931.8120078740158,571.4245400910172,2153.290705487122,736.3493691977901,1841.057902973396,851.0256754976442,0.0,0.0,0,5,35-Bronzeville-IIT,829.6427406906423,1221.4786976131063
